ascii_name,description,genus_pk,id,iso_codes,jsondata,latitude,longitude,macroarea,markup_description,name,pk,samples_100,samples_200
nepali,,84,nep,nep,{},28.0,85.0,Eurasia,,Nepali,1693,False,False
newar dolakha,,88,nwd,new,{},27.3333333333,86.0,Eurasia,,Newar (Dolakha),1799,False,False
newari kathmandu,,88,new,new,{},27.6666666667,85.5,Eurasia,,Newari (Kathmandu),1695,False,False
nganasan,,252,nga,nio,{},71.0,93.0,Eurasia,,Nganasan,1698,False,False
nicobarese,,442,nic,ncb,{},7.0,93.8333333333,Eurasia,,Nicobarese,1726,False,False
nicobarese car,,442,nca,caq,{},9.0,93.0,Eurasia,,Nicobarese (Car),1676,False,False
nihon shuwa japanese sign language,,23,nih,jsl,{},36.0,139.0,Eurasia,,Nihon Shuwa (Japanese Sign Language),1728,False,False
nivkh,,451,niv,niv,{},53.3333333333,142.0,Eurasia,,Nivkh,1734,False,True
nivkh south sakhalin,,451,nvs,niv,{},47.0,142.5,Eurasia,,Nivkh (South Sakhalin),1798,False,False
nocte,,188,noc,njb,{},27.0,95.5,Eurasia,,Nocte,1762,False,False
noghay,,83,nog,nog,{},44.0,46.0,Eurasia,,Noghay,1763,False,False
noghay karagash,,83,nok,nog,{},47.5,47.25,Eurasia,,Noghay (Karagash),1764,False,False
norsk tegnsprak,,23,nte,nsl,{},61.0,9.0,Eurasia,,Norsk Tegnspråk,1783,False,False
norwegian,,27,nor,nob,{},61.0,8.0,Eurasia,,Norwegian,1768,False,False
nung in vietnam,,237,nun,nut,{},21.9166666667,106.416666667,Eurasia,,Nung (in Vietnam),1794,False,False
nuosu,,20,yi,iii,{},28.0,103.0,Eurasia,,Nuosu,2582,False,False
nusu,,20,nus,nuf,{},26.75,99.0,Eurasia,,Nusu,1796,False,False
nyah kur tha pong,,418,nkt,cbn,{},15.6666666667,101.666666667,Eurasia,,Nyah Kur (Tha Pong),1742,False,False
nyamkad,,56,nyk,tpq,{},32.0,78.5,Eurasia,,Nyamkad,1804,False,False
nyishi,,76,nis,njz,{},27.5,93.5,Eurasia,,Nyishi,1731,False,False
occitan,,85,occ,oci,{},44.0,2.0,Eurasia,,Occitan,1817,False,False
oi,,157,oi,oyb,{},14.8333333333,107.166666667,Eurasia,,Oi,1820,False,False
oirat,,110,oir,xal,{},37.5,93.0,Eurasia,,Oirat,1821,False,False
onge,,320,ong,oon,{},10.75,92.4166666667,Eurasia,,Onge,1838,False,False
ordos,,110,ord,mvf,{},39.0,109.0,Eurasia,,Ordos,1845,False,False
oriya,,84,oya,ori,{},21.0,85.0,Eurasia,,Oriya,1864,False,False
oriya kotia,,84,oko,ort,{},18.3333333333,83.0,Eurasia,,Oriya (Kotia),1827,False,False
ormuri,,138,orm,oru,{},32.5,69.75,Eurasia,,Ormuri,1851,False,False
oroch,,258,orc,oac,{},50.3333333333,137.5,Eurasia,,Oroch,1844,False,False
orok,,258,ork,oaa,{},49.5,143.5,Eurasia,,Orok,1849,False,False
ossetic,,138,oss,oss,{},43.0,44.0,Eurasia,,Ossetic,1857,False,False
pacoh,,167,pac,pac,{},16.4166666667,107.083333333,Eurasia,,Pacoh,1866,False,False
paite,,33,pte,pck,{},24.0,93.1666666667,Eurasia,,Paite,1949,False,False
palaung,,470,plg,"pce, rbb",{},22.6666666667,96.6666666667,Eurasia,,Palaung,1902,False,False
panjabi,,84,pan,pan,{},31.0,74.0,Eurasia,,Panjabi,1874,False,False
parauk,,470,puk,prk,{},23.25,99.5,Eurasia,,Parauk,1954,False,False
parji dravidian,,271,prd,pci,{},19.5,82.5,Eurasia,,Parji (Dravidian),1933,False,False
pashto,,138,psh,pst,{},33.0,67.0,Eurasia,,Pashto,1941,False,False
pattani,,56,ptt,lae,{},32.75,76.75,Eurasia,,Pattani,1951,False,False
pengo,,282,pen,peg,{},19.8333333333,83.8333333333,Eurasia,,Pengo,1885,False,False
persian,,138,prs,pes,{},32.0,54.0,Eurasia,,Persian,1939,True,True
phlong,,332,phl,pww,{},15.0,99.0,Eurasia,,Phlong,1889,False,False
polabian,,141,plb,pox,{},51.0,12.8333333333,Eurasia,,Polabian,1901,False,False
polish,,141,pol,pol,{},52.0,20.0,Eurasia,,Polish,1924,False,False
portuguese,,85,por,por,{},39.0,-8.0,Eurasia,,Portuguese,1926,False,False
prasuni,,370,pra,prn,{},35.5,71.0,Eurasia,,Prasuni,1931,False,False
provencal,,85,pro,oci,{},44.0,6.0,Eurasia,,Provençal,1938,False,False
pumi,,477,pum,"pmi, pmj",{},28.0,101.0,Eurasia,,Pumi,1956,False,False
purki,,56,prk,prx,{},34.6666666667,76.0,Eurasia,,Purki,1937,False,False
qiang,,477,qia,"cng, qxs",{},32.0,102.666666667,Eurasia,,Qiang,1973,False,False
rade,,14,rad,rad,{},13.0,108.5,Eurasia,,Rade,1979,False,False
raji,,485,rji,rji,{},28.0,82.75,Eurasia,,Raji,2003,False,False
ralte,,33,ral,ral,{},23.75,92.75,Eurasia,,Ralte,1981,False,False
rang pas,,56,rpa,bod,{},30.3333333333,79.3333333333,Eurasia,,Rang Pas,2018,False,False
rawang,,72,raw,raw,{},27.5,97.5,Eurasia,,Rawang,1987,False,False
remo,,129,rem,bfw,{},18.0,82.0,Eurasia,,Remo,1992,False,False
rengao,,157,rng,ren,{},14.5833333333,107.833333333,Eurasia,,Rengao,2009,False,False
rgyalrong caodeng,,286,rgc,jya,{},31.6666666667,101.75,Eurasia,,rGyalrong (Caodeng),1997,False,False
roglai northern,,14,rgn,rog,{},12.1666666667,108.833333333,Eurasia,,Roglai (Northern),1998,False,False
romani ajia varvara,,84,rav,rmn,{},38.0,23.5833333333,Eurasia,,Romani (Ajia Varvara),1986,False,False
romanian,,85,rom,ron,{},46.0,25.0,Eurasia,,Romanian,2013,False,False
romani bugurdzi,,84,rbu,rmn,{},42.6666666667,21.1666666667,Eurasia,,Romani (Bugurdzi),1989,False,False
romani burgenland,,84,rbg,rmo,{},47.5,16.5,Eurasia,,Romani (Burgenland),1988,False,False
romani kalderash,,84,rka,rmy,{},45.0,21.0,Eurasia,,Romani (Kalderash),2004,False,False
romani lovari,,84,rlo,rmy,{},47.0,21.5,Eurasia,,Romani (Lovari),2005,False,False
romani north russian,,84,rnr,rml,{},60.0,38.0,Eurasia,,Romani (North Russian),2011,False,False
romani welsh,,84,rwe,rmw,{},52.0,-4.0,Eurasia,,Romani (Welsh),2034,False,False
romansch,,85,rmc,roh,{},46.6666666667,9.16666666667,Eurasia,,Romansch,2007,False,False
romansch scharans,,85,rsc,roh,{},46.75,9.5,Eurasia,,Romansch (Scharans),2020,False,False
romansch surmeiran,,85,rsm,roh,{},46.5833333333,9.75,Eurasia,,Romansch (Surmeiran),2024,False,False
romansch sursilvan,,85,rsu,roh,{},46.6666666667,8.83333333333,Eurasia,,Romansch (Sursilvan),2025,False,False
russian,,141,rus,rus,{},56.0,38.0,Eurasia,,Russian,2031,True,True
russian sign language,,23,rsl,rsl,{},56.0,44.0,Eurasia,,Russian Sign Language,2023,False,False
rutul,,32,rut,rut,{},41.5,47.4166666667,Eurasia,,Rutul,2032,False,False
saami centralsouth,,491,scs,sma,{},64.6666666667,16.75,Eurasia,,Saami (Central-South),2054,False,False
saami kildin,,491,ski,sjd,{},67.0,37.0,Eurasia,,Saami (Kildin),2102,False,False
saami northern,,491,sno,sme,{},69.0,24.0,Eurasia,,Saami (Northern),2134,False,False
saek,,237,sae,skb,{},17.4166666667,104.75,Eurasia,,Saek,2038,False,False
salar,,83,slr,slr,{},35.0,103.0,Eurasia,,Salar,2117,False,False
santa,,110,sta,sce,{},31.5,107.5,Eurasia,,Santa,2170,False,False
santali,,129,stl,sat,{},24.5,87.0,Eurasia,,Santali,2172,False,False
sapuan,,157,sap,spu,{},15.1666666667,106.833333333,Eurasia,,Sapuan,2045,False,False
sardinian,,85,srd,sro,{},40.0,9.0,Eurasia,,Sardinian,2155,False,False
saryg yughur,,83,syg,ybe,{},38.75,99.75,Eurasia,,Saryg Yughur,2198,False,False
savi,,84,sav,sdg,{},35.0,71.5,Eurasia,,Savi,2047,False,False
sedang,,157,sed,sed,{},14.8333333333,108.0,Eurasia,,Sedang,2060,False,False
selkup,,252,skp,sel,{},65.0,82.0,Eurasia,,Selkup,2107,False,False
sema,,33,sem,nsm,{},26.0,94.5,Eurasia,,Sema,2063,False,False
semai,,312,smj,sea,{},4.33333333333,101.666666667,Eurasia,,Semai,2122,False,False
semelai,,312,sml,sza,{},3.0,103.0,Eurasia,,Semelai,2123,False,True
serbiancroatian,,141,scr,"bos, hrv, srp",{},44.0,19.0,Eurasia,,Serbian-Croatian,2053,False,False
seychelles creole,,34,sey,crs,{},-4.75,55.5,Eurasia,,Seychelles Creole,2067,False,False
shan,,237,sha,shn,{},22.0,98.0,Eurasia,,Shan,2074,False,False
shekhawati,,84,skw,swv,{},28.0,75.5,Eurasia,,Shekhawati,2110,False,False
sherdukpen,,127,shd,sdp,{},27.0,92.5,Eurasia,,Sherdukpen,2076,False,False
sherpa,,56,she,xsr,{},27.75,86.8333333333,Eurasia,,Sherpa,2077,False,False
shina,,84,sna,scl,{},36.0,74.0,Eurasia,,Shina,2127,False,False
shira yughur,,110,shy,yuy,{},38.0,99.0,Eurasia,,Shira Yughur,2091,False,False
shompen,,501,smp,,{},7.0,93.75,Eurasia,,Shompen,2125,False,False
shor,,83,shr,cjs,{},53.0,88.0,Eurasia,,Shor,2086,False,False
shughni,,138,rsh,sgh,{},38.1666666667,71.5,Eurasia,,Shughni,2022,False,False
shuri,,319,ryu,ryu,{},26.5,127.5,Eurasia,,Shuri,2035,False,False
sikkimese,,56,skk,sip,{},27.8333333333,88.5,Eurasia,,Sikkimese,2103,False,False
sindhi,,84,sdh,snd,{},26.0,69.0,Eurasia,,Sindhi,2055,False,False
sinhala,,84,snh,sin,{},7.0,80.5,Eurasia,,Sinhala,2131,False,False
slovak,,141,svk,slk,{},49.0,20.0,Eurasia,,Slovak,2189,False,False
slovene,,141,slo,slv,{},46.0,15.0,Eurasia,,Slovene,2115,False,False
slovincian,,141,svc,csb,{},54.0,16.0,Eurasia,,Slovincian,2188,False,False
solon,,258,sol,evn,{},48.0,120.0,Eurasia,,Solon,2139,False,False
sora,,129,sor,srb,{},20.0,84.3333333333,Eurasia,,Sora,2144,False,False
sorbian,,141,srb,"dsb, hsb",{},51.5,14.0,Eurasia,,Sorbian,2153,False,False
sorbian lower,,141,srl,dsb,{},51.75,14.3333333333,Eurasia,,Sorbian (Lower),2158,False,False
sorbian upper,,141,sou,hsb,{},51.8333333333,14.5,Eurasia,,Sorbian (Upper),2145,False,False
south korean sign language,,23,ssl,kvk,{},37.0,128.0,Eurasia,,South Korean Sign Language,2167,False,False
spanish,,85,spa,spa,{},40.0,-4.0,Eurasia,,Spanish,2146,True,True
spanish canary islands,,85,spc,spa,{},28.0,-15.5833333333,Eurasia,,Spanish (Canary Islands),2147,False,False
spitian,,56,spi,bod,{},32.25,78.0,Eurasia,,Spitian,2148,False,False
sre,,157,sre,kpm,{},11.5,108.0,Eurasia,,Sre,2156,False,False
stieng,,157,sti,"sti, stt",{},11.8333333333,106.75,Eurasia,,Stieng,2171,False,False
sui,,237,sui,swi,{},26.0,107.5,Eurasia,,Sui,2179,False,False
sulung,,500,slg,suv,{},28.3333333333,93.25,Eurasia,,Sulung,2114,False,False
svan,,272,sva,sva,{},43.0,42.5,Eurasia,,Svan,2187,False,False
svenska teckenspraket,,23,svt,swl,{},59.0,15.0,Eurasia,,Svenska Teckenspråket,2191,False,False
swedish,,27,swe,swe,{},60.0,15.0,Eurasia,,Swedish,2193,False,False
swedish vasterbotten,,27,swv,swe,{},64.25,19.75,Eurasia,,Swedish (Västerbotten),2197,False,False
tabassaran,,32,tbs,tab,{},41.8333333333,47.9166666667,Eurasia,,Tabassaran,2226,False,False
tajik,,138,taj,tgk,{},38.6666666667,70.0,Eurasia,,Tajik,2206,False,False
talysh azerbaijan,,138,taz,tly,{},38.75,48.6666666667,Eurasia,,Talysh (Azerbaijan),2219,False,False
talysh southern,,138,tls,tly,{},37.0,49.0,Eurasia,,Talysh (Southern),2297,False,False
tamang eastern,,56,tam,"taj, tge",{},27.5,85.666666666667,Eurasia,,Tamang (Eastern),2209,False,False
tamil,,116,tml,tam,{},11.0,78.5,Eurasia,,Tamil,2303,False,False
tamil spoken,,116,tsp,tam,{},11.0,78.0,Eurasia,,Tamil (Spoken),2372,False,False
tangbe,,56,tbx,skj,{},28.9166666667,83.75,Eurasia,,Tangbe,2230,False,False
tarao,,33,tao,tro,{},24.25,94.1666666667,Eurasia,,Tarao,2211,False,False
tatar,,83,tvo,tat,{},56.0,49.5,Eurasia,,Tatar,2400,False,False
tatar baraba,,83,ttb,tat,{},55.3333333333,78.3333333333,Eurasia,,Tatar (Baraba),2377,False,False
tatar mishar,,83,tmi,tat,{},55.5,49.0,Eurasia,,Tatar (Mishar),2301,False,False
tatarnoghay alabugat,,83,tlb,nog,{},47.4166666667,45.6666666667,Eurasia,,Tatar-Noghay (Alabugat),2290,False,False
tati southern,,138,tts,tks,{},36.0,49.6666666667,Eurasia,,Tati (Southern),2381,False,False
tat muslim,,138,tmu,ttt,{},41.25,48.75,Eurasia,,Tat (Muslim),2310,False,False
telugu,,282,tel,tel,{},16.0,79.0,Eurasia,,Telugu,2238,False,False
temiar,,312,tmr,tea,{},5.0,101.5,Eurasia,,Temiar,2308,False,False
thadou,,33,thd,tcz,{},24.4166666667,93.9166666667,Eurasia,,Thadou,2259,False,False
thai,,237,tha,tha,{},16.0,101.0,Eurasia,,Thai,2258,True,True
thai sign language,,23,ths,tsq,{},15.0,101.0,Eurasia,,Thai Sign Language,2264,False,False
thakali,,56,thk,ths,{},29.0,83.75,Eurasia,,Thakali,2260,False,False
thangmi,,88,thn,thf,{},27.75,86.0,Eurasia,,Thangmi,2261,False,False
thulung,,88,thu,tdh,{},27.4166666667,86.5,Eurasia,,Thulung,2266,False,False
tibetan dingri,,56,tdi,bod,{},28.5,86.5,Eurasia,,Tibetan (Dingri),2233,False,False
tibetan drokpa,,56,tdr,bod,{},32.25,81.25,Eurasia,,Tibetan (Drokpa),2234,False,False
tibetan modern literary,,56,tmo,bod,{},29.8333333333,91.5,Eurasia,,Tibetan (Modern Literary),2306,False,False
tibetan shigatse,,56,tis,bod,{},29.0,89.0,Eurasia,,Tibetan (Shigatse),2280,False,False
tibetan standard spoken,,56,tib,bod,{},30.0,91.0,Eurasia,,Tibetan (Standard Spoken),2270,False,False
tinani,,56,tni,lbf,{},32.3333333333,77.1666666667,Eurasia,,Tinani,2317,False,False
tindi,,74,tnd,tin,{},42.3666666667,46.25,Eurasia,,Tindi,2314,False,False
tod,,56,tod,sbu,{},32.4166666667,77.25,Eurasia,,Tod,2328,False,False
toda,,116,tda,tcx,{},11.4166666667,76.75,Eurasia,,Toda,2232,False,False
tofa,,83,tof,kim,{},53.75,98.0,Eurasia,,Tofa,2329,False,False
torwali,,84,trw,trw,{},34.25,72.0,Eurasia,,Torwali,2358,False,False
tsakhur,,32,tsa,tkr,{},41.6666666667,47.1666666667,Eurasia,,Tsakhur,2360,False,False
tsat,,14,tst,huq,{},18.25,109.5,Eurasia,,Tsat,2374,False,False
tsez,,74,tsz,ddo,{},42.25,45.75,Eurasia,,Tsez,2376,False,False
tshangla,,56,tgl,tsj,{},27.8333333333,92.1666666667,Eurasia,,Tshangla,2252,False,False
tsovatush,,186,ttu,bbl,{},42.5,45.5,Eurasia,,Tsova-Tush,2382,False,False
tulu,,116,tul,tcy,{},12.75,75.3333333333,Eurasia,,Tulu,2390,False,False
turkic eastcentral xorasan,,83,tex,kmz,{},37.0,59.0,Eurasia,,Turkic (East-Central Xorasan),2247,False,False
turkic west xorasan,,83,twx,kmz,{},36.6666666667,56.0,Eurasia,,Turkic (West Xorasan),2406,False,False
turk isaret dili,,23,tui,tsm,{},39.0,34.0,Eurasia,,Türk Isaret Dili,2388,False,False
turkish,,83,tur,tur,{},39.0,35.0,Eurasia,,Turkish,2394,True,True
turkmen,,83,tkm,tuk,{},40.0,58.0,Eurasia,,Turkmen,2287,False,False
tutsa,,188,tvt,tvt,{},27.5,96.5,Eurasia,,Tutsa,2401,False,False
tuvan,,83,tuv,tyv,{},52.0,95.0,Eurasia,,Tuvan,2397,False,False
ubykh,,7,uby,uby,{},43.6666666667,39.6666666667,Eurasia,,Ubykh,2415,False,False
udi,,32,udi,udi,{},41.0,48.0,Eurasia,,Udi,2417,False,False
udihe,,258,udh,ude,{},47.6666666667,136.25,Eurasia,,Udihe,2416,False,False
udmurt,,359,udm,udm,{},57.5,52.5,Eurasia,,Udmurt,2418,False,False
ukrainian,,141,ukr,ukr,{},49.0,33.0,Eurasia,,Ukrainian,2421,False,False
ulcha,,258,ulc,ulc,{},52.25,140.333333333,Eurasia,,Ulcha,2423,False,False
urak lawoi,,14,url,urk,{},8.0,98.3333333333,Eurasia,,Urak Lawoi',2438,False,False
urdu,,84,urd,urd,{},25.0,67.0,Eurasia,,Urdu,2434,False,False
urum,,83,urm,uum,{},47.1166666667,37.55,Eurasia,,Urum,2439,False,False
uyghur,,83,uyg,uig,{},40.0,80.0,Eurasia,,Uyghur,2447,False,False
uzbek,,83,uzb,"uzn, uzs",{},39.0,66.0,Eurasia,,Uzbek,2448,False,False
uzbek northern,,83,uzn,uzn,{},40.6666666667,66.5,Eurasia,,Uzbek (Northern),2449,False,False
vafsi,,138,vaf,vaf,{},34.6666666667,49.9166666667,Eurasia,,Vafsi,2450,False,False
vasavi,,84,vas,vas,{},24.5,71.5,Eurasia,,Vasavi,2453,False,False
vedda,,84,ved,ved,{},7.0,81.0,Eurasia,,Vedda,2455,False,False
veps,,256,vep,vep,{},60.0,35.0,Eurasia,,Veps,2457,False,False
vietnamese,,432,vie,vie,{},10.5,106.5,Eurasia,,Vietnamese,2458,True,True
vlaamse gebarentaal,,23,vla,vgt,{},51.0,4.0,Eurasia,,Vlaamse Gebarentaal,2461,False,False
votic,,256,vot,vot,{},59.5,30.0,Eurasia,,Votic,2463,False,False
waigali,,370,wgl,wbk,{},35.0,71.25,Eurasia,,Waigali,2489,False,False
wakhi,,138,wak,wbl,{},36.5,72.0,Eurasia,,Wakhi,2467,False,False
wambule,,88,wme,wme,{},29.25,85.9166666667,Eurasia,,Wambule,2504,False,False
welsh,,162,wel,cym,{},52.0,-3.0,Eurasia,,Welsh,2484,False,False
welsh colloquial,,162,wec,cym,{},52.75,-3.5833,Eurasia,,Welsh (Colloquial),2482,False,False
wu,,204,wuc,wuu,{},31.6666666667,119.916666667,Eurasia,,Wu,2534,False,False
yaghnobi,,138,ygn,yai,{},39.0,69.0,Eurasia,,Yaghnobi,2580,False,False
yakut,,83,ykt,sah,{},62.0,130.0,Eurasia,,Yakut,2594,False,False
yamphu,,88,ybi,ybi,{},27.5833333333,87.3333333333,Eurasia,,Yamphu,2567,False,False
yay,,237,yay,pcc,{},22.4166666667,104.75,Eurasia,,Yay,2564,False,False
yazgulyam,,138,yaz,yah,{},38.5,71.5,Eurasia,,Yazgulyam,2565,False,False
yazva,,359,yzv,kpv,{},65.0,55.0,Eurasia,,Yazva,2633,False,False
yiddish,,27,ydd,"ydd, yih",{},52.0,23.0,Eurasia,,Yiddish,2572,False,False
yiddish bessarabian,,27,ydb,ydd,{},47.0,28.5,Eurasia,,Yiddish (Bessarabian),2571,False,False
yiddish lithuanian,,27,ylt,ydd,{},55.0,25.0,Eurasia,,Yiddish (Lithuanian),2599,False,False
yiddish lodz,,27,ydl,ydd,{},51.75,19.4166666667,Eurasia,,Yiddish (Lodz),2573,False,False
yi wudingluquan,,20,yiw,ywq,{},25.5,102.5,Eurasia,,Yi (Wuding-Luquan),2588,False,False
yugh,,335,yug,yug,{},61.0,90.0,Eurasia,,Yugh,2622,False,False
yukaghir kolyma,,556,yko,yux,{},65.75,150.833333333,Eurasia,,Yukaghir (Kolyma),2592,False,True
yukaghir tundra,,556,ytu,ykg,{},69.0,155.0,Eurasia,,Yukaghir (Tundra),2620,False,False
yupik naukan,,91,yna,ynk,{},66.0,-172.0,Eurasia,,Yupik (Naukan),2603,False,False
yupik siberian,,91,yus,ess,{},65.0,-173.0,Eurasia,,Yupik (Siberian),2627,False,False
yupik sirenik,,91,ysi,ysr,{},64.5,-174.0,Eurasia,,Yupik (Sirenik),2617,False,False
yupik st lawrence island,,91,ysl,ess,{},63.5,-170.5,Eurasia,,Yupik (St. Lawrence Island),2618,False,False
yurt tatar,,83,yta,nog,{},46.3333333333,48.5,Eurasia,,Yurt Tatar,2619,False,False
zazaki,,138,zaz,diq,{},39.0,41.0,Eurasia,,Zazaki,2643,False,False
zhuang northern,,237,zhn,zgb,{},24.0,108.0,Eurasia,,Zhuang (Northern),2647,False,False
